ds,yhat,yhat_lower,yhat_upper
08-05-2015,2095.406155,-6455.60981,10190.48582
09-05-2015,2037.306594,-6604.745332,9828.26615
10-05-2015,1990.530745,-6693.873765,10344.11279
11-05-2015,1979.284221,-5935.845621,10127.98743
12-05-2015,1855.594621,-6508.787019,10098.88392
13-05-2015,1885.578471,-6469.129136,9857.325029
14-05-2015,1746.112565,-6088.224836,9547.646492
15-05-2015,1663.333776,-6573.302039,10075.39342
16-05-2015,1574.813842,-6462.388452,9817.725786
17-05-2015,1504.16823,-7046.376442,9151.90961
18-05-2015,1475.917131,-6899.861435,9400.066392
19-05-2015,1342.183327,-6862.776625,9928.50545
20-05-2015,1368.958411,-6725.640728,9690.890038
21-05-2015,1232.780021,-7592.531169,9558.426369
22-05-2015,1159.243976,-7083.946259,9694.498123
23-05-2015,1085.197419,-7379.817789,8948.112157
24-05-2015,1033.371535,-6958.411895,9973.488839
25-05-2015,1027.271141,-7469.876946,8659.535986
26-05-2015,917.9050745,-6888.34166,8987.993365
27-05-2015,970.0878612,-7616.69935,9561.020998
28-05-2015,859.1542757,-7353.560777,9359.162676
29-05-2015,809.5095995,-7720.199191,9041.911797
30-05-2015,756.8605219,-7135.99729,8796.767082
31-05-2015,722.8841589,-8338.170428,8071.400295
01-06-2015,730.1514139,-7537.650317,8507.765831
02-06-2015,628.887601,-7733.813389,8676.441989
03-06-2015,683.2999328,-7415.955565,9202.656876
04-06-2015,568.3127194,-7746.059653,8145.506403
05-06-2015,508.1325613,-7577.571552,9010.872522
06-06-2015,438.4875944,-8813.835368,9011.244465
07-06-2015,381.2989002,-8294.700798,8176.388535
08-06-2015,359.5993359,-8155.161898,7700.143196
09-06-2015,224.2832713,-8122.207434,8645.199045
10-06-2015,240.4170526,-8223.090786,8416.436741
11-06-2015,83.95152078,-7861.253169,8295.973559
12-06-2015,-19.74057628,-9079.159607,8304.081689
13-06-2015,-133.6569804,-7381.885683,8177.710797
14-06-2015,-234.530006,-8838.430107,7422.902931
15-06-2015,-297.9451493,-8415.000326,7978.092792
16-06-2015,-471.6301165,-8878.232622,7526.260602
17-06-2015,-489.1832585,-8773.113086,8014.763469
18-06-2015,-673.3989773,-8694.710745,7165.221774
19-06-2015,-797.7661888,-8604.120906,7425.726472
20-06-2015,-924.2935284,-9476.323278,7293.655778
21-06-2015,-1028.902249,-8981.165998,6980.813829
22-06-2015,-1086.568843,-9613.650775,7064.184525
23-06-2015,-1244.632606,-9849.184359,6975.050213
24-06-2015,-1236.536619,-9332.556734,6602.469669
25-06-2015,-1385.159363,-9617.060717,6805.902764
26-06-2015,-1464.312906,-9462.464719,6901.91343
27-06-2015,-1536.561344,-9691.601431,6736.197236
28-06-2015,-1578.600688,-10091.57442,6786.943413
29-06-2015,-1566.382579,-10409.08517,6647.585804
30-06-2015,-1648.397615,-10209.589,6526.375789
01-07-2015,-1559.38746,-9949.348204,6229.02455
02-07-2015,-1623.643777,-10030.18474,6836.16064
03-07-2015,-1616.470839,-9809.672808,6808.385737
04-07-2015,-1601.966529,-9984.484606,6515.827038
05-07-2015,-1558.363941,-10017.36382,6925.217289
06-07-2015,-1463.117058,-9888.798354,6518.292419
07-07-2015,-1466.147341,-9537.388824,6231.836929
08-07-2015,-1303.521384,-9040.355256,6789.669908
09-07-2015,-1300.718648,-9460.18506,6937.323345
10-07-2015,-1234.066935,-9755.34735,7042.778632
11-07-2015,-1168.501043,-9855.590884,6924.269405
12-07-2015,-1082.887379,-9055.386544,7236.600952
13-07-2015,-955.0984144,-9160.706747,7058.125272
14-07-2015,-935.2540531,-9078.20522,7134.500007
15-07-2015,-759.4001613,-8908.923103,7066.856365
16-07-2015,-752.7831257,-9345.150789,7187.370348
17-07-2015,-691.2978544,-8601.85228,7468.924318
18-07-2015,-639.2642023,-9122.149972,7885.779065
19-07-2015,-574.774013,-8382.52774,7204.772689
20-07-2015,-474.791952,-9202.457018,7723.500222
21-07-2015,-488.4263704,-8880.619298,7730.115591
22-07-2015,-350.6395402,-8601.047192,7634.761513
23-07-2015,-385.5551746,-8484.51056,8298.961909
24-07-2015,-367.9396543,-8717.140174,7542.030788
25-07-2015,-361.0109615,-7727.49388,8659.608655
26-07-2015,-341.8165617,-8824.039831,7768.645362
27-07-2015,-286.3625164,-8558.962315,7645.723147
28-07-2015,-342.9092631,-8733.312838,8147.426122
29-07-2015,-245.7027061,-8744.909773,7916.453892
30-07-2015,-318.2979677,-8607.717729,7304.630981
31-07-2015,-335.0517972,-8258.715702,8076.803356
01-08-2015,-358.9373776,-8866.358294,8029.575725
02-08-2015,-366.9226657,-8264.733828,8219.809617
03-08-2015,-335.0946155,-8788.349625,7182.824244
04-08-2015,-411.9449441,-8575.273863,8099.205618
05-08-2015,-332.0864675,-9074.001666,8009.806577
06-08-2015,-419.5578718,-8751.115721,7708.747884
07-08-2015,-449.2935709,-8431.255784,8184.964912
08-08-2015,-484.9131353,-9021.937692,7828.672941
09-08-2015,-504.0722652,-8264.290565,8118.113298
10-08-2015,-483.5585449,-9057.679073,7506.402188
11-08-2015,-572.5485546,-8803.99727,8252.765682
12-08-2015,-506.2962851,-8946.146163,7196.090971
13-08-2015,-609.4116131,-8899.682387,8029.662533
14-08-2015,-657.3063225,-8424.887655,7705.158511
15-08-2015,-713.9629152,-9113.092748,7622.041586
16-08-2015,-757.2688404,-8198.83846,7211.753277
17-08-2015,-764.0999109,-9096.919832,7287.217698
18-08-2015,-883.569881,-9369.513949,7426.168086
19-08-2015,-850.7163779,-8394.440508,7231.734907
20-08-2015,-989.782034,-9446.739033,8100.260615
21-08-2015,-1075.668239,-9334.479396,6850.086944
22-08-2015,-1171.71653,-8995.662734,6886.57344
23-08-2015,-1255.059874,-9390.450333,6367.009047
24-08-2015,-1301.727101,-9364.507639,7281.451334
25-08-2015,-1459.916829,-9956.97611,6367.586342
26-08-2015,-1463.710324,-9890.385895,6772.975896
27-08-2015,-1636.381349,-9713.150156,6649.280282
28-08-2015,-1751.879515,-10326.26871,5627.656828
29-08-2015,-1872.641276,-9749.033924,6836.049088
30-08-2015,-1974.969897,-9577.008241,6290.428193
31-08-2015,-2034.166777,-9491.118018,6201.721841
01-09-2015,-2197.829644,-10277.69484,6011.590865
02-09-2015,-2199.586299,-10878.51331,5915.40178
03-09-2015,-2362.421312,-10230.78815,6213.621007
04-09-2015,-2460.171649,-10565.71748,5537.062063
05-09-2015,-2555.344965,-10860.92446,5128.169902
06-09-2015,-2624.501629,-10584.18349,5421.890003
07-09-2015,-2643.382783,-10388.25067,5740.57146
08-09-2015,-2760.19997,-10625.34388,4681.281719
09-09-2015,-2709.355274,-10969.95087,5252.689845
10-09-2015,-2814.749671,-11167.96702,5618.568664
11-09-2015,-2851.256137,-10888.80743,5054.238396
12-09-2015,-2882.511819,-11795.00937,5034.347229
13-09-2015,-2886.271111,-11004.75762,4876.74194
14-09-2015,-2839.502717,-11223.82115,5490.504267
15-09-2015,-2891.647154,-10811.01916,5142.318487
16-09-2015,-2778.304507,-10954.01367,5822.2472
17-09-2015,-2824.511103,-11451.23306,5838.958742
18-09-2015,-2806.182513,-10947.95147,5555.884466
19-09-2015,-2787.878081,-11406.83806,5446.572563
20-09-2015,-2748.12958,-10505.15271,5110.404648
21-09-2015,-2664.517808,-11066.31471,5884.813406
22-09-2015,-2686.914123,-10716.54703,5340.731369
23-09-2015,-2551.15721,-11167.30633,5492.20616
24-09-2015,-2582.324055,-10726.98085,5801.357991
25-09-2015,-2556.172674,-10198.21492,5521.173784
26-09-2015,-2536.911823,-11028.53682,5663.516115
27-09-2015,-2502.540133,-10777.10731,6457.975342
28-09-2015,-2429.938164,-10806.36209,5851.100064
29-09-2015,-2468.129948,-9955.015856,5690.036212
30-09-2015,-2351.983744,-10867.8409,5672.141236
01-10-2015,-2405.510274,-10313.55358,5772.516812
02-10-2015,-2403.335245,-10857.32045,5021.275796
03-10-2015,-2408.500509,-10500.6549,5795.534328
04-10-2015,-2397.835438,-10806.10796,5815.550293
05-10-2015,-2347.081092,-11210.18987,6087.815408
06-10-2015,-2404.182859,-10278.42927,5907.960948
07-10-2015,-2303.020423,-10237.01555,6475.028931
08-10-2015,-2366.73253,-11172.65497,5776.098582
09-10-2015,-2369.212633,-10769.8983,5669.592265
10-10-2015,-2372.929145,-10199.70311,5698.954625
11-10-2015,-2354.311382,-10895.02902,5485.866716
12-10-2015,-2288.883405,-11411.79306,6258.363506
13-10-2015,-2324.561223,-10623.15036,5823.620964
14-10-2015,-2195.382102,-10055.11452,6210.242656
15-10-2015,-2224.82359,-10301.86819,6284.812085
16-10-2015,-2187.28849,-10039.6309,6116.483853
17-10-2015,-2145.909913,-10214.04679,5533.95766
18-10-2015,-2077.917942,-10238.56268,5933.881873
19-10-2015,-1959.750743,-10090.45855,5923.400298
20-10-2015,-1940.326248,-10339.67947,6443.914707
21-10-2015,-1754.743947,-10283.409,6310.881244
22-10-2015,-1727.575153,-10103.50783,6428.442569
23-10-2015,-1634.318864,-9655.618641,6906.252239
24-10-2015,-1539.17814,-9665.0414,7796.359082
25-10-2015,-1420.399384,-9362.052194,6942.086786
26-10-2015,-1255.358064,-9305.435091,7368.901185
27-10-2015,-1193.807739,-9121.185452,6815.168738
28-10-2015,-971.5625022,-9122.348226,6674.835793
29-10-2015,-913.7717046,-8762.051483,6934.577618
30-10-2015,-796.3644484,-9109.718812,7606.340356
31-10-2015,-683.8190324,-8751.591179,7486.534937
01-11-2015,-554.4998129,-8852.091243,7661.016474
02-11-2015,-385.7450228,-8719.769957,7695.151853
03-11-2015,-327.1222229,-8145.771338,7728.339724
04-11-2015,-114.1212205,-8630.207546,7862.862494
05-11-2015,-71.44290416,-8284.05529,7929.271332
06-11-2015,25.53901864,-8087.002406,8198.272036
07-11-2015,112.9888075,-8554.683055,8571.624739
08-11-2015,213.2501894,-7640.74836,8433.293195
09-11-2015,349.7357435,-7373.747825,8105.429321
10-11-2015,373.6482277,-7762.103362,8667.484389
11-11-2015,550.264742,-7603.780148,9489.643588
12-11-2015,555.6259883,-7453.990275,8763.622797
13-11-2015,615.0543039,-7803.807283,9055.287873
14-11-2015,665.3464907,-7414.795332,8588.699452
15-11-2015,729.4001468,-7316.100736,8711.683443
16-11-2015,831.091086,-7366.329042,9049.213913
17-11-2015,821.9862068,-7672.469739,8784.660112
18-11-2015,967.6228921,-7234.754982,8959.474168
19-11-2015,944.1972616,-7058.168492,9330.79524
20-11-2015,977.0848905,-7726.388173,9088.393974
21-11-2015,1003.039834,-7602.943286,9759.751564
22-11-2015,1044.830367,-6773.044427,9492.648993
23-11-2015,1126.128617,-7119.109269,9639.439199
24-11-2015,1098.237976,-7049.854115,9701.417005
25-11-2015,1226.388791,-7471.999952,8763.639903
26-11-2015,1186.444054,-6945.854792,9674.058838
27-11-2015,1203.438046,-6831.134919,9861.655959
28-11-2015,1213.793119,-7163.811511,9573.935529
29-11-2015,1239.972375,-6982.237229,10155.32638
30-11-2015,1305.384806,-7646.318911,9654.275194
01-12-2015,1261.126206,-6587.836288,9875.704596
02-12-2015,1372.285877,-6278.76425,9988.859832
03-12-2015,1314.660436,-7352.656858,9380.163641
04-12-2015,1313.297383,-6568.082487,9338.902609
05-12-2015,1304.713418,-6745.843127,9356.097538
06-12-2015,1311.545193,-6495.875557,9746.496338
07-12-2015,1357.449121,-6393.373882,10365.86751
08-12-2015,1293.833724,-6708.287146,9731.856819
09-12-2015,1386.154813,-7200.348814,9297.168042
10-12-2015,1310.615223,-7182.185974,9983.946179
11-12-2015,1292.692223,-6694.347428,9083.281542
12-12-2015,1269.33817,-6962.108654,8949.397306
13-12-2015,1263.612717,-6817.305814,9231.202924
14-12-2015,1299.563856,-6977.076955,9441.675077
15-12-2015,1228.941951,-6787.339389,9305.67313
16-12-2015,1317.477756,-6502.149122,9719.344543
17-12-2015,1241.566765,-6672.180484,9479.470651
18-12-2015,1226.78363,-7053.807649,9263.717931
19-12-2015,1210.072745,-7312.363227,8928.021445
20-12-2015,1214.373753,-7086.246483,9779.076192
21-12-2015,1263.499576,-7895.136987,9467.968373
22-12-2015,1208.851376,-6869.166137,9966.659415
23-12-2015,1315.701518,-7282.782864,9165.737545
24-12-2015,1259.886843,-6741.883977,9444.592076
25-12-2015,1266.335837,-6667.264217,9990.880341
26-12-2015,1271.275481,-6695.983817,9509.57482
27-12-2015,1296.876117,-6953.838509,9954.745451
28-12-2015,1366.151421,-6893.699988,9463.915628
29-12-2015,1329.697236,-6603.253862,9623.384888
30-12-2015,1451.99964,-6723.72053,9576.567325
31-12-2015,1408.153806,-7278.189666,9768.542121
01-01-2016,1422.416423,-6681.618792,9881.570492
02-01-2016,1430.436668,-6979.995228,9758.230934
03-01-2016,1453.923266,-7109.327098,10082.38653
04-01-2016,1515.563971,-7780.096289,9630.700192
05-01-2016,1465.780542,-6373.027312,9686.558143
06-01-2016,1569.048983,-6936.051481,10289.08383
07-01-2016,1500.626095,-6657.666391,10235.9408
08-01-2016,1485.104759,-6901.970672,9847.11002
09-01-2016,1458.642692,-6096.502254,9335.266051
10-01-2016,1443.622121,-6865.522925,9442.152584
11-01-2016,1463.556803,-6487.185298,9972.794161
12-01-2016,1369.829645,-6802.452749,9684.262017
13-01-2016,1427.991107,-6930.01086,9170.46099
14-01-2016,1314.459921,-6856.385714,9688.766451
15-01-2016,1255.049202,-6988.233142,9381.889573
